date,SRV,poolval,CapRealBTC
2016-10-20,2485.9,1214498.51,5383.0
2016-10-21,2511.4,1220673.81,5359.09
2016-10-22,2459.0,1254428.32,5341.84
2016-10-23,2456.8,1235339.33,5326.9
2016-10-24,2450.79,1247101.77,5304.86
2016-10-25,2393.06,1238690.41,5281.82
2016-10-26,2430.01,1243572.75,5249.05
2016-10-27,2363.08,1244664.48,5230.35
2016-10-28,2375.98,1260487.68,5180.48
2016-10-29,2325.36,1252310.44,5149.05
2016-10-30,2298.28,1277161.71,5131.69
2016-10-31,2283.95,1256850.84,5095.88
2016-11-01,2262.46,1278434.2,5067.85
2016-11-02,2224.29,1269619.5,5040.29
2016-11-03,2210.35,1274059.97,5011.05
2016-11-04,2175.47,1283454.55,4982.64
2016-11-05,2146.83,1278772.15,4949.85
2016-11-06,2141.17,1287829.29,4920.47
2016-11-07,2107.55,1293993.25,4900.5
2016-11-08,2092.66,1313957.18,4874.52
2016-11-09,2051.42,1307667.01,4866.55
2016-11-10,2052.28,1314478.22,4847.83
2016-11-11,2004.64,1314838.31,4824.31
2016-11-12,2019.8,1306545.92,4789.51
2016-11-13,1979.57,1334768.1,4777.02
2016-11-14,1982.74,1326398.14,4757.69
2016-11-15,1948.64,1327762.86,4744.57
2016-11-16,1934.42,1348189.39,4723.69
2016-11-17,1906.33,1332059.39,4708.19
2016-11-18,1910.37,1344063.78,4693.47
2016-11-19,1880.9,1330164.67,4668.56
2016-11-20,1915.96,1349882.27,4656.05
2016-11-21,1884.29,1336261.83,4650.19
2016-11-22,1855.83,1383211.39,4628.3
2016-11-23,1842.17,1355422.27,4612.85
2016-11-24,1828.67,1359552.96,4593.98
2016-11-25,1806.3,1366294.4,4579.0
2016-11-26,1785.54,1362218.87,4533.14
2016-11-27,1728.49,1369445.64,4516.33
2016-11-28,1720.62,1352782.48,4492.31
2016-11-29,1676.93,1345164.46,4480.4
2016-11-30,1674.29,1332672.33,4454.19
2016-12-01,1678.96,1339068.23,4441.33
2016-12-02,1670.52,1341244.94,4417.63
2016-12-03,1654.17,1392015.61,4390.45
2016-12-04,1631.26,1361581.28,4372.21
2016-12-05,1610.19,1393573.65,4356.23
2016-12-06,1596.76,1368814.46,4329.12
2016-12-07,1578.07,1379111.2,4304.07
2016-12-08,1573.04,1387863.11,4283.49
2016-12-09,1546.65,1405217.83,4265.11
2016-12-10,1529.28,1391356.45,4247.19
2016-12-11,1507.5,1405962.64,4227.27
2016-12-12,1484.19,1380606.5,4221.19
2016-12-13,1470.96,1396484.35,4217.56
2016-12-14,1463.01,1374064.82,4206.19
2016-12-15,1457.27,1402727.53,4194.8
2016-12-16,1443.39,1385564.17,4184.28
2016-12-17,1413.1,1423797.16,4176.3
2016-12-18,1404.02,1384228.22,4141.67
2016-12-19,1391.87,1386350.47,4127.18
2016-12-20,1382.92,1371030.85,4105.09
2016-12-21,1362.44,1414046.51,4087.23
2016-12-22,1345.99,1387030.25,4066.87
2016-12-23,1346.34,1401924.58,4038.46
2016-12-24,1327.59,1414314.57,4020.7
2016-12-25,1316.79,1417386.4,3996.38
2016-12-26,1289.84,1459403.89,3974.39
2016-12-27,1282.92,1427794.52,3950.8
2016-12-28,1258.43,1450632.07,3941.34
